"NEW.ID_PROG";"BIOGEOREF";"REGBIOGEO";"HABITAT";"BIOGEO_HAB";"ALT";"LON";"LAT"
"849";"Atlantique";"Atlantique_central";"Terrestre";"Atlantique_Terrestre";62;2,518717;48,957283
"85";"National";"Continental";"Terrestre";"National_Terrestre";208;5,80886499999406;47,3003619999953
"851";"National";"Atlantique_central";"Aquatique";"National_Aquatique";2;1,479525;50,15158
"867";"Atlantique";"Lusitanien";"Terrestre";"Atlantique_Terrestre";5;-0,85675;46,320556
"87";"National";"Continental";"STOC-rozo";"National_STOC-rozo";259;7,53333299999882;47,6000000000311
"88";"Atlantique";"Lusitanien";"Terrestre";"Atlantique_Terrestre";8;-1,64162299999626;47,035721000026
"89";"Atlantique";"Lusitanien";"Terrestre";"Atlantique_Terrestre";6;-1,63172399999734;47,1230200000011
"896";"Atlantique";"Atlantique_central";"Terrestre";"Atlantique_Terrestre";0;2,248333;50,764639
"897";"Atlantique";"Lusitanien";"Terrestre";"Atlantique_Terrestre";1;-2,162636;46,949822
"898";"National";"Continental";"Terrestre";"National_Terrestre";232;7,515056;47,685417
"898";"National";"Continental";"Terrestre";"National_Terrestre";249;7,5;47,683333
"9";"National";"Continental";"Terrestre";"National_Terrestre";371;3,429444;47,071111
"90";"National";"Continental";"Terrestre";"National_Terrestre";902;5,55238100000101;44,7380939999731
"907";"National";"Continental";"Aquatique";"National_Aquatique";282;5,034451;45,946614
"91";"Atlantique";"Lusitanien";"Terrestre";"Atlantique_Terrestre";105;0,725476999996756;46,4021420000035
"910";"National";"Continental";"Terrestre";"National_Terrestre";290;3,354049;45,904431
"914";"Atlantique";"Atlantique_central";"Terrestre";"Atlantique_Terrestre";30;2,91087;50,438237
"914";"Atlantique";"Atlantique_central";"Terrestre";"Atlantique_Terrestre";30;2,910833;50,438056
"915";"Atlantique";"Atlantique_central";"Terrestre";"Atlantique_Terrestre";71;2,573333;48,394167
