"YEAR";"AGE_first";"SP";"MIGRATION";"CIinf";"CIquart_inf";"med";"CIquart_sup";"CIsup";"HABITAT"
2007;"AD";"TURMER";"Court";0;0;0,153846153846154;0,25;0,644444444444446;"Terrestre"
2008;"AD";"TURMER";"Court";0;0;0,0769230769230769;0,2;0,383333333333333;"Terrestre"
2009;"AD";"TURMER";"Court";0;0;0,125;0,183333333333333;0,425;"Terrestre"
2010;"AD";"TURMER";"Court";0;0;0,118055555555556;0,226470588235294;0,597222222222221;"Terrestre"
2011;"AD";"TURMER";"Court";0;0;0,0976190476190476;0,1875;0,4625;"Terrestre"
2012;"AD";"TURMER";"Court";0;0;0,0909090909090909;0,195238095238095;0,372222222222222;"Terrestre"
2013;"AD";"TURMER";"Court";0;0,0619747899159664;0,145833333333333;0,296428571428571;0,5225;"Terrestre"
2014;"AD";"TURMER";"Court";0;0;0,0909090909090909;0,174242424242424;0,472222222222222;"Terrestre"
2015;"AD";"TURMER";"Court";0;0;0,13953488372093;0,25;0,476190476190476;"Terrestre"
2016;"AD";"TURMER";"Court";0;0;0,025;0,125;0,4;"Terrestre"
2017;"AD";"TURMER";"Court";0;0;0,111111111111111;0,2;0,467045454545454;"Terrestre"
2018;"AD";"TURMER";"Court";0;0;0,1;0,166666666666667;0,413636363636364;"Terrestre"
2019;"AD";"TURMER";"Court";0;0;0;0,285714285714286;0,408571428571429;"Terrestre"
2020;"AD";"TURMER";"Court";0;0;0,0952380952380952;0,190909090909091;0,425;"Terrestre"
2021;"AD";"TURMER";"Court";0;0;0,111111111111111;0,215909090909091;0,756249999999999;"Terrestre"
1989;"JUV";"TURMER";"Court";0;0;0;0;0;"Terrestre"
1990;"JUV";"TURMER";"Court";0;0;0;0;0,0775;"Terrestre"
1991;"JUV";"TURMER";"Court";0;0;0;0;0,175454545454546;"Terrestre"
1992;"JUV";"TURMER";"Court";0;0;0;0;0,15;"Terrestre"
1993;"JUV";"TURMER";"Court";0;0;0;0,0666666666666667;0,1;"Terrestre"
1994;"JUV";"TURMER";"Court";0;0;0;0,118181818181818;0,24125;"Terrestre"
1995;"JUV";"TURMER";"Court";0;0;0;0;0,053125;"Terrestre"
1996;"JUV";"TURMER";"Court";0;0;0;0;0;"Terrestre"
1997;"JUV";"TURMER";"Court";0;0;0;0,157142857142857;0,244642857142857;"Terrestre"
1998;"JUV";"TURMER";"Court";0;0;0;0;0,043421052631579;"Terrestre"
1999;"JUV";"TURMER";"Court";0;0;0;0,222222222222222;0,247222222222222;"Terrestre"
2000;"JUV";"TURMER";"Court";0;0;0;0;0;"Terrestre"
2001;"JUV";"TURMER";"Court";0;0;0;0;0,2325;"Terrestre"
2002;"JUV";"TURMER";"Court";0;0;0;0;0,1825;"Terrestre"
2003;"JUV";"TURMER";"Court";0;0;0;0;0,117708333333333;"Terrestre"
2004;"JUV";"TURMER";"Court";0;0;0;0;0,110625;"Terrestre"
2005;"JUV";"TURMER";"Court";0;0;0;0;0,19375;"Terrestre"
2006;"JUV";"TURMER";"Court";0;0;0;0;0,258333333333333;"Terrestre"
2007;"JUV";"TURMER";"Court";0;0;0;0;0,2825;"Terrestre"
